	target_text	input_text	prefix
0	How do you install these bags?	Drywall collection filter bags. Picks up fine dust such as drywall, cement dust and cold ashes.', 'For dry pick-up only, the Shop-Vac fine dust filter bag is ideal for pick-up of fine dust, like drywall, cement dust and cold ashes. Easy to use, this filter bag features a double-walled design and fits 10-to-14-gallon vacuums. This pack includes two fine dust filter bags.	ask_question
1	what is the size of the hole opening?	Drywall collection filter bags. Picks up fine dust such as drywall, cement dust and cold ashes.', 'For dry pick-up only, the Shop-Vac fine dust filter bag is ideal for pick-up of fine dust, like drywall, cement dust and cold ashes. Easy to use, this filter bag features a double-walled design and fits 10-to-14-gallon vacuums. This pack includes two fine dust filter bags.	ask_question
2	does it fit Bostitch	Drywall collection filter bags. Picks up fine dust such as drywall, cement dust and cold ashes.', 'For dry pick-up only, the Shop-Vac fine dust filter bag is ideal for pick-up of fine dust, like drywall, cement dust and cold ashes. Easy to use, this filter bag features a double-walled design and fits 10-to-14-gallon vacuums. This pack includes two fine dust filter bags.	ask_question
3	Can you use these bags when vacuming up those helicopter things from trees?	Drywall collection filter bags. Picks up fine dust such as drywall, cement dust and cold ashes.', 'For dry pick-up only, the Shop-Vac fine dust filter bag is ideal for pick-up of fine dust, like drywall, cement dust and cold ashes. Easy to use, this filter bag features a double-walled design and fits 10-to-14-gallon vacuums. This pack includes two fine dust filter bags.	ask_question
4	Does it fit new craftsman 12 gal model #12006	Drywall collection filter bags. Picks up fine dust such as drywall, cement dust and cold ashes.', 'For dry pick-up only, the Shop-Vac fine dust filter bag is ideal for pick-up of fine dust, like drywall, cement dust and cold ashes. Easy to use, this filter bag features a double-walled design and fits 10-to-14-gallon vacuums. This pack includes two fine dust filter bags.	ask_question
5	Will this work inside the 14 gallon Rigid Shop vac?	Drywall collection filter bags. Picks up fine dust such as drywall, cement dust and cold ashes.', 'For dry pick-up only, the Shop-Vac fine dust filter bag is ideal for pick-up of fine dust, like drywall, cement dust and cold ashes. Easy to use, this filter bag features a double-walled design and fits 10-to-14-gallon vacuums. This pack includes two fine dust filter bags.	ask_question
6	do you need caulking gun to use this tube? Can it be used on its own?	"America's #1 selling latex caulk. ALEXPLUS is a superior quality, all-purpose acrylic latex caulk plus silicone."", 'Superior quality, multi-purpose acrylic latex caulk plus silicone. Highly flexible and durable. Excellent adhesion. Cured caulk is mildew resistant. Interior/exterior use. Paintable. Water clean-up. 35 Year Durability Guarantee. Exceeds ASTM Specification C 834."	ask_question
7	would it be okay to seal around a bathtub	"America's #1 selling latex caulk. ALEXPLUS is a superior quality, all-purpose acrylic latex caulk plus silicone."", 'Superior quality, multi-purpose acrylic latex caulk plus silicone. Highly flexible and durable. Excellent adhesion. Cured caulk is mildew resistant. Interior/exterior use. Paintable. Water clean-up. 35 Year Durability Guarantee. Exceeds ASTM Specification C 834."	ask_question
8	Is this 100% silicone?	"America's #1 selling latex caulk. ALEXPLUS is a superior quality, all-purpose acrylic latex caulk plus silicone."", 'Superior quality, multi-purpose acrylic latex caulk plus silicone. Highly flexible and durable. Excellent adhesion. Cured caulk is mildew resistant. Interior/exterior use. Paintable. Water clean-up. 35 Year Durability Guarantee. Exceeds ASTM Specification C 834."	ask_question
9	How do I re-seal the tip after partial use? Other culks have a removable cap but this one doesn't. Do I need a plastic wrap and a rubber band? Thanks.	"America's #1 selling latex caulk. ALEXPLUS is a superior quality, all-purpose acrylic latex caulk plus silicone."", 'Superior quality, multi-purpose acrylic latex caulk plus silicone. Highly flexible and durable. Excellent adhesion. Cured caulk is mildew resistant. Interior/exterior use. Paintable. Water clean-up. 35 Year Durability Guarantee. Exceeds ASTM Specification C 834."	ask_question
10	How long does it need to dry before you can paint it?	"America's #1 selling latex caulk. ALEXPLUS is a superior quality, all-purpose acrylic latex caulk plus silicone."", 'Superior quality, multi-purpose acrylic latex caulk plus silicone. Highly flexible and durable. Excellent adhesion. Cured caulk is mildew resistant. Interior/exterior use. Paintable. Water clean-up. 35 Year Durability Guarantee. Exceeds ASTM Specification C 834."	ask_question
11	Is this price for a case?	"America's #1 selling latex caulk. ALEXPLUS is a superior quality, all-purpose acrylic latex caulk plus silicone."", 'Superior quality, multi-purpose acrylic latex caulk plus silicone. Highly flexible and durable. Excellent adhesion. Cured caulk is mildew resistant. Interior/exterior use. Paintable. Water clean-up. 35 Year Durability Guarantee. Exceeds ASTM Specification C 834."	ask_question
12	Can I use this to seal the air leaks around my baseboard radiator? There are huge openings around the pipes	"America's #1 selling latex caulk. ALEXPLUS is a superior quality, all-purpose acrylic latex caulk plus silicone."", 'Superior quality, multi-purpose acrylic latex caulk plus silicone. Highly flexible and durable. Excellent adhesion. Cured caulk is mildew resistant. Interior/exterior use. Paintable. Water clean-up. 35 Year Durability Guarantee. Exceeds ASTM Specification C 834."	ask_question
13	Will it provide a strong bond between wood and ceramic?	"America's #1 selling latex caulk. ALEXPLUS is a superior quality, all-purpose acrylic latex caulk plus silicone."", 'Superior quality, multi-purpose acrylic latex caulk plus silicone. Highly flexible and durable. Excellent adhesion. Cured caulk is mildew resistant. Interior/exterior use. Paintable. Water clean-up. 35 Year Durability Guarantee. Exceeds ASTM Specification C 834."	ask_question
14	Can this be used to 'glue' a mirror to another?	"America's #1 selling latex caulk. ALEXPLUS is a superior quality, all-purpose acrylic latex caulk plus silicone."", 'Superior quality, multi-purpose acrylic latex caulk plus silicone. Highly flexible and durable. Excellent adhesion. Cured caulk is mildew resistant. Interior/exterior use. Paintable. Water clean-up. 35 Year Durability Guarantee. Exceeds ASTM Specification C 834."	ask_question
15	Newbie here... Can were use this Caulk around bathtubs and kitchen sinks? It said all purpose??	"America's #1 selling latex caulk. ALEXPLUS is a superior quality, all-purpose acrylic latex caulk plus silicone."", 'Superior quality, multi-purpose acrylic latex caulk plus silicone. Highly flexible and durable. Excellent adhesion. Cured caulk is mildew resistant. Interior/exterior use. Paintable. Water clean-up. 35 Year Durability Guarantee. Exceeds ASTM Specification C 834."	ask_question
16	Is this comparable (fit/work) with a Makita 9557PBX1 4.5 inch angle grinder? Just picked one up &amp; looking for additional wheels. Thanks !!	DEWALT DW4523 4-1/2-Inch X 1/4-Inch X 5/8-Inch General Purpose Metal Grinding Wheel.', 'DEWALT DW4523 4-1/2-Inch X 1/4-Inch X 5/8-Inch General Purpose Metal Grinding Wheel	ask_question
17	Will this multi purpose grinding wheel sharpen lawn mower blades	DEWALT DW4523 4-1/2-Inch X 1/4-Inch X 5/8-Inch General Purpose Metal Grinding Wheel.', 'DEWALT DW4523 4-1/2-Inch X 1/4-Inch X 5/8-Inch General Purpose Metal Grinding Wheel	ask_question
18	i want a mini grinding disc to grind the mould split line which is made of silicone,can u tell me whichone is suitable for it	DEWALT DW4523 4-1/2-Inch X 1/4-Inch X 5/8-Inch General Purpose Metal Grinding Wheel.', 'DEWALT DW4523 4-1/2-Inch X 1/4-Inch X 5/8-Inch General Purpose Metal Grinding Wheel	ask_question
19	hi.where this item is made	DEWALT DW4523 4-1/2-Inch X 1/4-Inch X 5/8-Inch General Purpose Metal Grinding Wheel.', 'DEWALT DW4523 4-1/2-Inch X 1/4-Inch X 5/8-Inch General Purpose Metal Grinding Wheel	ask_question
20	Does the hose fit and lock in Shop-Vac Model 87:600A ~ wet/dry vacuum?	"Deluxe 2-1/2"" Bulkdry Pick-Up', 'Designed for vacuuming versatility, the Shop Vac 2-1/2-inch deluxe pick-up accessory kit converts vacuums to large 2-1/2-inch tools. The answer for any type of bulk dry pick-up tasks, this kit features a 6-foot hose for working around corners, a 14- and 6-inch nozzle for accessibility, and two extension wands for a longer reach. The Shop Vac also includes an 8-inch utility nozzle, a 14-inch floor nozzle and a 2-1/2-inch crevice tool for tight spots."	ask_question
21	"Will it fit a Sears 12 gallon shop vac? Looks like the hose connection to the vac is 2.5"" but the attachment end to the hose looks smaller like 2.25"""	"Deluxe 2-1/2"" Bulkdry Pick-Up', 'Designed for vacuuming versatility, the Shop Vac 2-1/2-inch deluxe pick-up accessory kit converts vacuums to large 2-1/2-inch tools. The answer for any type of bulk dry pick-up tasks, this kit features a 6-foot hose for working around corners, a 14- and 6-inch nozzle for accessibility, and two extension wands for a longer reach. The Shop Vac also includes an 8-inch utility nozzle, a 14-inch floor nozzle and a 2-1/2-inch crevice tool for tight spots."	ask_question
22	Hi! Will this fit a 2.5 Gallon shop vac Hang up Portable?	"Deluxe 2-1/2"" Bulkdry Pick-Up', 'Designed for vacuuming versatility, the Shop Vac 2-1/2-inch deluxe pick-up accessory kit converts vacuums to large 2-1/2-inch tools. The answer for any type of bulk dry pick-up tasks, this kit features a 6-foot hose for working around corners, a 14- and 6-inch nozzle for accessibility, and two extension wands for a longer reach. The Shop Vac also includes an 8-inch utility nozzle, a 14-inch floor nozzle and a 2-1/2-inch crevice tool for tight spots."	ask_question
23	does it fit the model wd06350	"Deluxe 2-1/2"" Bulkdry Pick-Up', 'Designed for vacuuming versatility, the Shop Vac 2-1/2-inch deluxe pick-up accessory kit converts vacuums to large 2-1/2-inch tools. The answer for any type of bulk dry pick-up tasks, this kit features a 6-foot hose for working around corners, a 14- and 6-inch nozzle for accessibility, and two extension wands for a longer reach. The Shop Vac also includes an 8-inch utility nozzle, a 14-inch floor nozzle and a 2-1/2-inch crevice tool for tight spots."	ask_question
